stimulus_id,image_path,source_id,condition_id,outline,shading,shading_region,material,outer_color,center_color,background_color,width_px,height_px,sha256
oc-274578-heads__oa-sn-ma-pwb,images/oc-274578-heads/background-white/oc-274578-heads__oa-sn-ma-pwb.png,oc-274578-heads,oa-sn-ma-pwb,ambiguous,none,none,ambiguous,white,black,white,1024,1024,ca258e899d54955a3179f8ba6692918758493e13850845502f8c9c1294887e4c
oc-274578-heads__oa-sn-ma-pwg,images/oc-274578-heads/background-white/oc-274578-heads__oa-sn-ma-pwg.png,oc-274578-heads,oa-sn-ma-pwg,ambiguous,none,none,ambiguous,white,gray,white,1024,1024,92a92ecfb3656dc87f72d50a7ffc5f695de10b70f8c0ac757a02be5b88b095d1
oc-274578-heads__oa-sn-mv-pwb,images/oc-274578-heads/background-white/oc-274578-heads__oa-sn-mv-pwb.png,oc-274578-heads,oa-sn-mv-pwb,ambiguous,none,none,vase,white,black,white,1024,1024,83a3e347df6ca67ffd706cefba6e910d7e7ba9fe29a0ced0c3cc0be4e5211539
oc-274578-heads__oa-sn-mv-pwg,images/oc-274578-heads/background-white/oc-274578-heads__oa-sn-mv-pwg.png,oc-274578-heads,oa-sn-mv-pwg,ambiguous,none,none,vase,white,gray,white,1024,1024,8be5ccbdcbb2b8f4814cce58904fa4c4eaa6feb2130ecbef5f3d639f0dbd01a8
oc-274578-heads__of-sf-ma-pbw,images/oc-274578-heads/background-white/oc-274578-heads__of-sf-ma-pbw.png,oc-274578-heads,of-sf-ma-pbw,face,figure,face,ambiguous,black,white,white,1024,1024,569705aad940e70ef1593c3bd5d8fa893dedf3cef36018edbf25573d3ddc83c5
oc-274578-heads__of-sf-ma-pgw,images/oc-274578-heads/background-white/oc-274578-heads__of-sf-ma-pgw.png,oc-274578-heads,of-sf-ma-pgw,face,figure,face,ambiguous,gray,white,white,1024,1024,33115f37350c7bbf662f93699fe15b2c0aa821afe17e601f9873284347f8b856
oc-274578-heads__of-sn-ma-pbw,images/oc-274578-heads/background-white/oc-274578-heads__of-sn-ma-pbw.png,oc-274578-heads,of-sn-ma-pbw,face,none,none,ambiguous,black,white,white,1024,1024,5fac8ba94df08dee34ead8b1e98ff7d084bf0670a37a718e7a094f0d33716af5
oc-274578-heads__of-sn-ma-pgw,images/oc-274578-heads/background-white/oc-274578-heads__of-sn-ma-pgw.png,oc-274578-heads,of-sn-ma-pgw,face,none,none,ambiguous,gray,white,white,1024,1024,3fcf6b83d84a2b64b7f98c18c60f2ccfb7c26da1608a5104920fa8f98d437d2e
user-bird__oa-sf-ma-pbg,images/user-bird/background-black/user-bird__oa-sf-ma-pbg.png,user-bird,oa-sf-ma-pbg,ambiguous,figure,vase,ambiguous,black,gray,black,1024,1024,74decfec0fe943234953dcca3f20d091a4f86121304d8a8066d480531be2b928
user-bird__oa-sf-ma-pbw,images/user-bird/background-black/user-bird__oa-sf-ma-pbw.png,user-bird,oa-sf-ma-pbw,ambiguous,figure,vase,ambiguous,black,white,black,1024,1024,f0ce1b97594d3241b730c203a3a0fbbd2c9b47f2dd2c7cd56eb883f92d3a20df
user-bird__oa-sn-ma-pbg,images/user-bird/background-black/user-bird__oa-sn-ma-pbg.png,user-bird,oa-sn-ma-pbg,ambiguous,none,none,ambiguous,black,gray,black,1024,1024,72aa678831789fbc27a5f5c839125f497da2dd39bb37b88b086b00d9b12760ed
user-bird__oa-sn-ma-pbw,images/user-bird/background-black/user-bird__oa-sn-ma-pbw.png,user-bird,oa-sn-ma-pbw,ambiguous,none,none,ambiguous,black,white,black,1024,1024,ff8c1d1e170d6c0987e7a65ac98678746481010f267bc329d0ec81f1f681b179
user-bird__oa-sn-mv-pbg,images/user-bird/background-black/user-bird__oa-sn-mv-pbg.png,user-bird,oa-sn-mv-pbg,ambiguous,none,none,vase,black,gray,black,1024,1024,38d0d37bec1a0b1bf39ea538f5b95c563d0e540c2efd49e2ac3d2344dd17dd51
user-bird__oa-sn-mv-pbw,images/user-bird/background-black/user-bird__oa-sn-mv-pbw.png,user-bird,oa-sn-mv-pbw,ambiguous,none,none,vase,black,white,black,1024,1024,dedc055d7330d281fb0b942186084619bdf52fd3a2755cf665654ece205c32b5
user-bird__of-sf-ma-pgb,images/user-bird/background-black/user-bird__of-sf-ma-pgb.png,user-bird,of-sf-ma-pgb,face,figure,face,ambiguous,gray,black,black,1024,1024,9703e8756405aea66f05f6cbee100b8b23112f685a6a4a5897130d1c6bbdffc0
user-bird__of-sf-ma-pwb,images/user-bird/background-black/user-bird__of-sf-ma-pwb.png,user-bird,of-sf-ma-pwb,face,figure,face,ambiguous,white,black,black,1024,1024,f279e1591d20f247dc0c1a5e0d9fbf229a217438af7e56816a5629282467fdff
user-bird__of-sn-ma-pgb,images/user-bird/background-black/user-bird__of-sn-ma-pgb.png,user-bird,of-sn-ma-pgb,face,none,none,ambiguous,gray,black,black,1024,1024,472ed6d8a1940a8a07e543cd52caf17de9dd303b757833d707ecee037e77d479
user-bird__of-sn-ma-pwb,images/user-bird/background-black/user-bird__of-sn-ma-pwb.png,user-bird,of-sn-ma-pwb,face,none,none,ambiguous,white,black,black,1024,1024,1f5584715e0c037a6ab659dc4cd54087122b3755acf0351029fbc2bf3e488db3
user-bird__oa-sf-ma-pgb,images/user-bird/background-gray/user-bird__oa-sf-ma-pgb.png,user-bird,oa-sf-ma-pgb,ambiguous,figure,vase,ambiguous,gray,black,gray,1024,1024,c232fef0682d8ab78e104603edcddb0eabad1cf7d0c03fb6dda3a8706be4830d
user-bird__oa-sf-ma-pgw,images/user-bird/background-gray/user-bird__oa-sf-ma-pgw.png,user-bird,oa-sf-ma-pgw,ambiguous,figure,vase,ambiguous,gray,white,gray,1024,1024,a7971c122fcbfe24e409432790ef78dd9c2cdec30314481b835b5fa915f76d6b
user-bird__oa-sn-ma-pgb,images/user-bird/background-gray/user-bird__oa-sn-ma-pgb.png,user-bird,oa-sn-ma-pgb,ambiguous,none,none,ambiguous,gray,black,gray,1024,1024,bdf07a0a86cbc056010908f9ae101491745bd48112cc23d5d3f457484095d286
user-bird__oa-sn-ma-pgw,images/user-bird/background-gray/user-bird__oa-sn-ma-pgw.png,user-bird,oa-sn-ma-pgw,ambiguous,none,none,ambiguous,gray,white,gray,1024,1024,a850a08afec6b5f15ffb38bbccfd942b696427bf554fbda5008a1c900c38c830
user-bird__oa-sn-mv-pgb,images/user-bird/background-gray/user-bird__oa-sn-mv-pgb.png,user-bird,oa-sn-mv-pgb,ambiguous,none,none,vase,gray,black,gray,1024,1024,0cc79342f1bfd2cd285732b45960d4850bbd20f75a254dce39344470b440026c
user-bird__oa-sn-mv-pgw,images/user-bird/background-gray/user-bird__oa-sn-mv-pgw.png,user-bird,oa-sn-mv-pgw,ambiguous,none,none,vase,gray,white,gray,1024,1024,e3fdd63dac71bd760ad80460e2cad0e33dac0f0dddfd185728a8c015bfd80fae
user-bird__of-sf-ma-pbg,images/user-bird/background-gray/user-bird__of-sf-ma-pbg.png,user-bird,of-sf-ma-pbg,face,figure,face,ambiguous,black,gray,gray,1024,1024,b51dc2abf7a1dbc9d1029e714f5d0c10aced5b91f045a751dad5d0bbadf1f057
user-bird__of-sf-ma-pwg,images/user-bird/background-gray/user-bird__of-sf-ma-pwg.png,user-bird,of-sf-ma-pwg,face,figure,face,ambiguous,white,gray,gray,1024,1024,fad1c492172b50f621173e934a29bbf030f72fbde9920d5365b4debf67abdbfd
user-bird__of-sn-ma-pbg,images/user-bird/background-gray/user-bird__of-sn-ma-pbg.png,user-bird,of-sn-ma-pbg,face,none,none,ambiguous,black,gray,gray,1024,1024,70c609578dee113e2e6ae120c5119da4cb52df76f7e03b906b557e3d62d9c9ca
user-bird__of-sn-ma-pwg,images/user-bird/background-gray/user-bird__of-sn-ma-pwg.png,user-bird,of-sn-ma-pwg,face,none,none,ambiguous,white,gray,gray,1024,1024,511359542e1cf5240e3bdec6926b51b5de8b1f7a7b37a8d25359875477bed710
user-bird__oa-sf-ma-pwb,images/user-bird/background-white/user-bird__oa-sf-ma-pwb.png,user-bird,oa-sf-ma-pwb,ambiguous,figure,vase,ambiguous,white,black,white,1024,1024,d63ce1777ad68482c0ed3c60e552e9eb56adcb431305eb13fdabb7b3ff10463b
user-bird__oa-sf-ma-pwg,images/user-bird/background-white/user-bird__oa-sf-ma-pwg.png,user-bird,oa-sf-ma-pwg,ambiguous,figure,vase,ambiguous,white,gray,white,1024,1024,61625afd9705af7a3cddb22e79451e8566942ee0d53252cfb5eb83794b464b1e
user-bird__oa-sn-ma-pwb,images/user-bird/background-white/user-bird__oa-sn-ma-pwb.png,user-bird,oa-sn-ma-pwb,ambiguous,none,none,ambiguous,white,black,white,1024,1024,f040d99fb35bb4037f8b1eb8014a827129700d87022fabe2fcb8cb36fb8d311a
